MMAU1292344;MSK2018073;MSK
MNBU0147192;MSK2018073;MSK
SUDU5245725;MSK2018073;MSK
SUDU8064823;MSK2018073;MSK
MNBU0242332;MSK2018073;MSK
PONU2973908;MSK2018073;MSK
MWCU5717263;MSK2018073;MSK
MSWU0100114;MSK2018073;MSK
MSWU9029090;MSK2018073;MSK
SUDU6080830;MSK2018073;MSK
MNBU3105776;MSK2018073;MSK
MNBU3863225;MSK2018073;MSK
MNBU0335369;MSK2018073;MSK
MNBU3504380;MSK2018073;MSK
SUDU5125170;MSK2018073;MSK
SUDU8032235;MSK2018073;MSK
SUDU6209893;MSK2018073;MSK
SUDU5174175;MSK2018073;MSK
SUDU8048294;MSK2018073;MSK
SUDU6030824;MSK2018073;MSK
MWMU6311807;MSK2018073;MSK
SUDU6078520;MSK2018073;MSK
PONU2962689;MSK2018073;MSK
MNBU3240499;MSK2018073;MSK
SUDU8214353;MSK2018073;MSK
MNBU3370888;MSK2018073;MSK
PONU4888528;MSK2018073;MSK
SUDU8234025;MSK2018073;MSK
MNBU0220502;MSK2018073;MSK
SUDU5240220;MSK2018073;MSK
MNBU3628740;MSK2018073;MSK
MNBU3370126;MSK2018073;MSK
MNBU0527628;MSK2018073;MSK
MSWU9082602;MSK2018073;MSK
MNBU3094590;MSK2018073;MSK
MWCU5689069;MSK2018073;MSK
MNBU3770441;MSK2018073;MSK
MNBU3136458;MSK2018073;MSK
MSWU9105544;MSK2018073;MSK
MWCU5717258;MSK2018073;MSK
MWCU6665858;MSK2018073;MSK
MNBU0224257;MSK2018073;MSK
MNBU3237155;MSK2018073;MSK
SUDU6057189;MSK2018073;MSK
MNBU3316151;MSK2018073;MSK
MNBU0314751;MSK2018073;MSK
MNBU3842140;MSK2018073;MSK
MNBU3308109;MSK2018073;MSK
MNBU3797381;MSK2018073;MSK
MNBU0242923;MSK2018073;MSK
MNBU3954541;MSK2018073;MSK
MNBU3116641;MSK2018073;MSK
MSWU9068116;MSK2018073;MSK
MNBU0071306;MSK2018073;MSK
MNBU0131025;MSK2018073;MSK
MNBU3115136;MSK2018073;MSK
MWCU5228529;MSK2018073;MSK
